,userIdNo,contents,incitement,hate
65,3iyW0,애네들 어차피 안될꺼 다음정권때 경제를 완전파탄내려고 하는짓같네요. 다음 정권에 경제 문제로 물고 늘어지겠죠.,0,0
66,6kVwt,윤석열이 신속하게 수사하라고 하던데~불법은 너네들이 저지르고선 영장가지고 와서 압수수색 하는데 무슨 말이 그렇게 많니^^,0,0
67,2HafX,기획부동산보다 더한 사기꾼 집단,0,1
68,Nnrg,여당의원들도 짜증나겠다. 지는 아닌 것처럼 말하니까ㅋㅋ,0,0
69,7ytzF,역시 죄명이화법은 꼴통..그럼 혜경궁김씨 댓글사건 파헤쳐보자구.잘됐네,1,1
70,7V9Ou,난 미리 알았는데 특히 다음 이 심함,0,0
71,1ghuM,이재명 해경궁 녹취록에 비하면 별거없던뎅,0,0
72,64st0,"전국적으로 내기 합시다
1. 기각
2. 구속",0,0
73,2UFvl,목함지뢰,0,0
74,E8Rt,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  씨발 이러니까 개콘이 망하지.. ㅋㅋㅋㅋ,0,0
75,4hcwE,단군이래최대이익대장동수색특검,0,0
76,DAUw,"말은 똑부러지게 시원하게 했네
따지고보면 홍준표나 유승민은 이 당의 대선후보로
나올수  있는 사람들이가  일일이 설명해주까
참말로 자격이나 된다고 생각하는거냐 웃긴다",0,0
77,3YXpM,좌파 언론들 여론 조작 하느라 열일 하네 어쩌냐 이재명이 특검은 거부하고 국힘게이트라 하던 대장동개발이 당시 이재명 측근이라는 당시 성남도시개발기획본부장이었던 대장동개발 설계자 유동규가 개발 당시 성남시 비서실장과  적극적으로 긴밀히 소통했다는 양심 선언이 터져 나왔다네 특검으로 억울하면 밝혀야지,0,0
78,9PMud,지옥으로 가는구만 ㅋ,0,0
79,5dQwV,"난 그동안 윤석열만 지지했는데, 이제 김건희도 지지해야겠다 ㅎ 팩폭만 조곤조곤하게 잘 날리네.",0,0
80,1zXEd,대학 자율적으로 판단하라고~~얼척이 없네~~,0,0
81,EpuQ,재앙아 적폐는 니들만 입에 올릴수 있는 단어고 역린이냐? 어따 지금 뻔뻔하게 그 낯짝을 들이밀어 .  이명박근혜때만 쌓인 적폐냐고. 내가 볼땐 너랑 죄명이 추미애 조국 윤미향 뭐 인것들이 니니가 싸놓은 똥이고 죄다 적폐야,0,1
82,11Dha,"경기도, 강원도, 경상도.. 각 도별로 배치한다하지않았나?  윤석열 덕분에 든든하겠네...",0,0
83,2rw8G,웃기구 있네.아저씨 땜에 어이없어서 웃는다,0,0
84,4NiDa,저소득층 하고싱글맘자녀들모여라 ..밥먹자 이럼누가가겠니?,0,0
85,4goNq,사과가 아닌 사퇴가 답.,0,0
86,1LfHI,자신은 진짜청년이라며 모든 청년을 윤석열로부터 멀어지게한  분이네. 무자격 여론조사 전문가님.,0,0
87,13251,쪽팔림도 없는 철상판데기,0,1
88,44bgc,제발되자! 밀어줄께!,0,0
89,1UCJc,이 분 말이 맞다. 김동연은 경제기획과 출신인데 경제기획과가 행정고시 출신들에게 노른자 자리다.,0,0
90,3HgJn,탈령병 아드님 구속 임박,0,0
91,1ULTm,늙은개가 윤석열에개 살랑살랑 꼬라치내내!?,0,1
92,j6sR,"윤석열 장모되기 전에 뭘 했던지, 그게 윤석열하고 무슨 상관이냐! 물타기 하지 마라~~",0,0
93,4H2E,먼저까네...꼼수봐라,0,0
94,acpIz,최재형은 줏대도 없냐,0,0
95,3sV8k,재멍이 대통되면 니라의 앞길이 험난합니다. 합법으로 가장한 사기집단들의 나라가 될듯요..',0,1
96,dv1BD,예상된 가족리스크 관리를 너무 안이하게 대처하니 답답하다 더듬당이 보통 사람들이냐 선동의 달인아니냐,0,1
97,34Xbk,진짜 싫다,0,0
98,c01Ol,무리한 기소 검찰,0,0
99,24ZfS,뭐래 이 개 돼지샅은 댓글 좀 보소...돈은 누가 다 처먹었나 생각들 좀 해라!! 대장동이슈가 누구에게 도움이 됐냐 이것들아!! 그걸로 윤석열이슈 다 덮었는데 뭐가 이재명에게 도움이 됐냐?  수준이 참나...,0,1
100,1eDjW,"""어쩔수없이 국힘 들어갔다""",0,0
101,5Dl7n,조라는 단어가 이렇게 쉬운건가? 무섭다~~,0,0
102,6qXy1,윤석열 대통령 가자!!!,0,0
103,247y9,김부선을 고소하지 못하는것처럼 이사건도 고소를 못하는걸로 봐서는 사실인듯하다,0,0
104,2KCgB,녹취록 진짜인지 까라,0,0
105,MKFp,불륜녀에 술집호스티스였다는 소문에 대해 석열은 왜 해명하지 않는가? 허위학위 논문에 대해 왜 침묵하고 있는가? 인정한다는건지.....아무리 그래도 그런 여자를 누가 영부인으로 인정하겠는가?  뛰어나지는 못해도 평범하기는 해야지 ... 국민의 뜻과 반대로 홍준표를 밀어내버린 오만으로 국힘당은 또한번 패배할 것이다,0,0
106,5kyLe,총질을 어디다 대고 해야하는지도 모르니 ~~,0,0
107,2h5Ip,니네 적폐빨갱이 다 쓸어버릴려면 괴물정권보다 더한 정권도 필요하다.,1,1
108,cZ5UA,채널 용도다하면 페기처분할때는 어떻게할려고...패널자체가 1급페기물인데...,0,0
109,11WIb,이 할매 존재감도 없는데 아직 나오네!!!,0,0
110,6sbX4,무한한 권력의지가 무섭고 소름끼친다,0,0
111,2fExZ,북괴 비대칭 전력 중 하나인 장사정포에 대응하는 방어 시스템 한국형 아이언돔 c-ram도 아직인데..,0,0
112,3gCRH,"당신까지 욕할게 될진 몰랐는데.
그냥 남은 여생 저 멀리가서 조용히 반성하면서 사시오!
그 누구도 당신을 기억하는 사람 없을꺼요! 
잘가시오!",0,0
113,287lP,리죄명 당신과 민주당 의원들부터 기본주택에 살아라,0,1
114,e9Ft,10억씩 준다고하지. 어짜피 니돈도 아닌데. 그래야 표받지? 속보이는 짓거리 좀 하지마라. 없는사람들 이용하지 말고.,0,0
115,6pFj4,"이명박 박근혜 나오고, 문재인 이재명 윤석열 들어가고 ~~",0,0
116,1MeDC,부작용도 별로 없고 치명률 낮은 사람은 안철수뿐이다 안철수 찍으면 안철수 당선이다,0,0
117,9tOO2,안철수홧있팅,0,0
118,1xeXr,판검사들의 떡값관행이 만연한 건 아니고?,0,0
119,4PYOe,이사람은 아니다,0,0
120,Ok4s,"맞는말 같습니다
생각없는 유권자ᆢ 옳은 말인듯
전과자와 텅빈렬에게 미래를 맡긴다는 사람들이 생각없는 유권자 아닙니까?
ㅡ",0,1
121,2lvAc,"낙연아   누워서   침 뱉으면  어디로  떨어 지냐  
  부끄러운줄   알아라     어디가서    전라도  사람이라고  하지  말아라      부끄럽다      요양병원에  입원해라",1,1
122,1rg0n,허경영 토론회 나오면 개꿀잼,0,0
123,15JXn,사퇴해라 더이상 못참겠다,0,0
124,kjVM,언론사 기레기들은 자극적인 내용만 싫어담는다 팩트체크는     어따가 버려버리고 일단 자극적인 내용을 기사내기 바쁘다. 욕해야할건 팩트체크도 안하고 앞뒤 내용 자르고 국민들 얇은 귀를 가지고 노는 언론 기레기색이년놈들을 바로 잡아야해.,1,1
125,5aYUR,공짜 시리즈에  전과자 온갖루머 다가지고 있는자를 대통령이라.....,0,0
126,57WEj,그러니까 준비를 해야지 똥꼬마 빨게아니라 멍청아,0,1
127,1mydh,"자료가 사실 필요한건 너무 많은 거짓부렁 한 것을 찾기위해 필요하다.  아 그건 전에 했는데요,  기자들께 수도없이 하드만, 그건 언급 했는데,
아니 며칠 것도 모르면서 자료없이 하자고,
몇년 전에 밥 먹은건 당연 기억 없다, 장사하는 분들 단골 유지 하겠나, 변호사삼실  하면서 고객 관리 어떻게 하고 지지자들 관리는,  참  꽁만 잘 치면 정치인 시키면 나라 걱정됨,",0,0
128,3e92o,그래서 지명이가 국민보다 내마누라가 먼저다.....하고 전국여성대회를 무시하고  마누라에게 붙어있어잖아....,0,0
129,2d5dQ,공작과 선동의 대가 민주당  그동안 잘 먹혀서 정권 잡았으면 잘 했어야지  이젠 더 이상 안속으니  작전 바꿔라,0,0
130,aGWgG,"니는말좀쭐여라
대변인은잠자나
대동고동창회나하그라",0,0
131,ahxtz,니돈이냐? 미래세대가 이재명 때문에 세금 많이 내서는 안된다. 이재명을 조기에 제명 시켜야 나라가 산다.,0,0
132,2rop1,지는 이명박보다 한수 더 뜨는 사람인데 진짜 코미디가 따로없네~ 명박이는 본인때문에 자기밑에 있던 사람들 자살하게끔 만들진 않았다 적어도.  이눔의 새끼야!!,0,0
133,5NDm9,법인카드 사적사용은 너무도 비일비재하다 사회복지든 회사든 그러나 주가조작나 저런 사기를 무죄로 판단하는 저 검찰공화국 인간들과 윤가가 난 정말 추악하다고 본다.,0,0
134,3rbCD,김건희에  열등감있는것들 여기 다모였네  그러이 잘타고나지그랬냐 ㄷㅅ들,0,1
135,1bBgK,역시 민주당은 한결같음 ㅎㅎ,0,0
136,1LM0x,어디서 성형했노.? 나도  새삶 좀 살아보자,0,0
137,koeo,안치환 옛날에 민중가요 부르던 사람이잖아. 갑툭튀 반갑네. .,0,0
138,nuUE,난임이긴하나 ㅋㅋㅋ,0,0
139,2izNT,"문재인과 청와대 및 민주당 내로남불 인간들답다. “근거없이 적폐로 몰아 강력분노 사과요구”라고. 드루킹사건, 울산시장선거개입, 탈원전 조작, 라임펀드,장학선 수사지시 남용, 이상직과 사위의 거래 등등  문정권5년내내 그하수인들과 같이 불법비리부정부패의 적폐수사대상이 차고 넘친다. 당연 문재인와 가족도 대상이지. 문정권 초기 공정과 정의운운하면서 각부처별 적폐청산한다고 2년동안 이명박&amp;박근혜 본인들 포함하여 정권인사들 감옥간 사람과 극단적 선택한 사람이 얼마나 많냐. 문재인 말처럼 정권교체후 적폐청산 나라를 바로 세우는 길이여",0,0
140,3npGY,"홍준표 이괴자식은 완전 정권교체 반대파 좌파 프락치다’
거의 윤석열 딴지걸기만 주구장창 해댄다. 이지식은 문좌파 보다 더나쁜 밀정이다! 이런쉐퀴가 나라를 위하고 애국을 참 잘도 하겠다! 쓰레기! 그냥 되도록 빨리 지구를 떠나라 ‘",1,1
141,135vv,"그럼 손준성 검사 감옥에 가야 맞네요.기자 말대로면,",0,0
142,8QK4e,"대장동설계자라 떠들고 다닐때와 똑같은 내로남불...
남 까는건 괜찮고 공정한거지???",0,0
143,Z0Mv,"짐승보다 못하네~
저짓거리 해놓고 황무성에게 책임을 돌려?

이걸보고도 찢죄명을 빨면 개돼지다.",1,1
144,2deM2,개돼지들이 참 많음.,0,1
145,CIiA,상식같은 소리하네 ㅋㅋㅋ 미쳤나,0,0
146,8zk9b,지들 맘에 안 든다고 탈당ㅋㅋ 입당도 그 정도의 가벼운 마음으로 했겠지?ㅋㅋ 절이 싫으면 중이 꺼지는게 맞지ㅂㅂ,0,0
147,4BEqD,한국일보다운 사설이네? 민주노총 언론노조 지시에 따라 사설을 쓰나? 여기가 공산국가냐? 김어준같은 인간이 언론인이게? jtbc의 편향성은 하루이틀 일인가? 기자는 정말로 중립을 지키나? 대답해봐라.,0,0
148,3JFkr,이번에도 단일화 시도하다 패배하면 정계은퇴 하게된다.  끝까지 밀고 가는 강단을 보여줘야 미래가 있다. 만일 국힘당이 정귄획득에  실패하면 흩어지는 국힘당 세력을 흡수하여 미래를  도모해 볼 기회가 올 수 있기 때문이다.,0,0
149,H9PR,8500억 수사는 언제?,0,0
150,7uSQV,나 이제 지지안한다 안녕이다 이재명같은 사람을 이렇게까지 밀어주는 이유가 뭐냐 끝이다 민주당,0,0
151,2t3YG,에어컨 설치기사처럼 1년에 몇개월 바쁜 사람들은 52시간 근무 땜에 개손해 보는데?,0,0
152,3eM8C,오로지  정책만 갖고 토론 하면  좋겠다 ..  둘 다  개인사가  개판 인건  같으니 ...  정책을 듣고 싶다....... 지금 두 후보  뉴스  제목  뽑듯  좋은 정책  제목만  나열 하고 있다 .  내용과  실천을  어떻게 할 것 인가가  궁금 하다 .,0,0
153,2AR8g,책임감 없이 알바로 전전해도 돈을 더 많이 벌면 기술축적이 안되고 사회는 퇴보할 것이 뻔하데도 대통령이 되려고 나라 망치는 짓을 서슴치 않고 하는  죄명씨는 반성해라.,0,1
154,oXIK,이재명 지지자들은 조두순을 열사라고 부른답니다.,0,0
155,1okbM,"치졸한 것들이 줄리로 않되니까  사진  올려 놓고  시비건다.
예뻐지고 싶은 건 인간의  본능  인데  그게 비난받아야 할  이유는 없다.  너희들은 아무리 성형수술해도  김건희씨 같이  않된다.
 호박에 줄을  백번 그어  봐라  수박이 되겠니 !",0,1
156,47tVh,쌀값이 금값이다~ 비싸서 못사먹고 있다.,0,0
157,3b2at,"김건희 그니깐 적당히 햇어야지 쯧

내가 권력잡으면 다들 가만안둬~---김건희가 한말",0,0
158,cERW4,당대표사퇴해라 쁘락치야,0,1
159,5JOLG,하는꼴이 최딩수준이고 공수처는 해체가 답이다,0,1
160,WS1H,너무 늦은게 사실입니다 그리고 통일에 ㅇ속메일 필요도 없습니다 자주국방 그리고  평화유지면 해피합니다,0,0
161,oe7s,간철수간첩은 세기의역적놈 이놈땜시 대한민국이 공산주의 될수도있다...간철수 찍으면 찢재명빨갱이가 당선...,1,1
162,4WVzC,정권교체  필요성도  모르는  애송이 들이  대선나오는거 보면  찻잔속의  태풍일 듯.  한심한 자들이네.  민주얼간이당이  이번에도 막판에 지역구  주면 안나올 민주당 2중대 정의당ㅎ ㅎ,0,0
163,d6uaZ,"윤개는 토론 하면 맨붕 올까 도망 다니고, 쥴리는 까발릴거 겁나 집콕해 냄비나 닦고... 콩가루 집안 이정도 일줄이야...ㅎㅎ",0,1
164,289vS,"돈있고 빽있는놈들이 하면 너거 처가처럼 무죄고 없는 놈들이 하면 유죄냐 이게 공정이냐  세상에 너같이 사는 사람만 인간이고 그 이하는 개돼지냐,!",0,0
165,dNzEG,"윤무식 바닥 까지 다 봤는데   쇼 한다고  사람이 달라지나?   선대위 말대로 연기만 하라니?  이무슨 해괴 망측한 이야기인가?    종인할배 아바타?  허수아비?   
하다하다 별짓을 다하네",0,1
166,QeEI,"김의겸 ㅆㄹㄱ 꺼져라
 저런 인간이  있는 당이니
 뽑을수가 있나",1,1
167,2K2R6,어구야 품질로 치면 니들이 산업폐기물이지ㅋㅋ,0,1
168,1q21x,또 김대업...생태탕이니?  천벌이 너한테 오거든...아..올것이 왔구나 하렴..곧 올꺼야..하늘이 다 보고 있거든,0,0
169,303Te,기본도 안된 무식쟁이 윤석열,0,1
170,2qTXi,정권교체론 60% 이상으로 시작한 선거. 이쟤명을 후보로 뽑은건 선명성과 인기 때문인데 후보로 뽑힌후 대장동 김문기 유한기 자살당하며 이쟤명이 대쟝동 그분으로 굳어지는 분위기. 토론만하면 역전할거라더니 알이백 장학퀴즈쇼로 오히려 감점. 올림픽 시기 여당이 유리한건 옛말. 반중 감정 폭발 친중정권 성토. 김건희 공격하더니 김헤경 리스크. 박스권이 아니라 박스에 갇혀 감방갈 날만 기다리는 쥐 신세. 찟찟거리며 ㅋㅋ,0,1
171,1YJlG,철수는 철수해라 자꾸나오눈것도 꼴불견이다 안될것 같으면 포기해야디 추하게보안다 내가아니면 안된다은 생각은 버리라 니 말고도 할사람 천자다,0,1
172,3jAfu,내각제를 공공연히 떠드는 민주당2중대의 요직 인물 김종인을 선택한 윤석열이 김종인의 의사에 반하는 행동을 할 수 있을까? 즉 윤석열이 되더라도 문재인 정권 연장으로 보는 것이 타당하다. 국힘당 후보는 즉 민주당2중대 후보일 뿐이다. 따라서 그나마 정권교체 확실히 되려면 국민들은 안철수로 뭉쳐야 한다.,0,0
173,1OVr8,안철수 대통령에 윤석렬 법무부 장관~윤석렬은 법이외에 아무것도 모르고 공부거 하시고 재도전 하시길요~이번엔 정책이며 도덕성이며 모든 현안이 다 파악된 준비된 안철수로 몰아줘야합니다,0,0
174,5GVQC,국민의 위치에서 봐도 윤석렬은 썩어빠진 행동이 한두가지가 아닌데도 거짓말로 일괄하면서 얼굴색깔 하나 안바뀌고 거짓을 말한다,0,0
175,2TmHJ,"내가하면 적폐청산 남이하면 정치보복!
지나가던 개가 웃을일...",0,0
176,2dnsO,이래서 인사 청문회를 비공개로 하자 했구나 무서운놈이네...,0,0
177,6f8Ei,추미애 감빵 갈 날도! 얼마 안남았네~~,0,1
178,3vZ5S,이건 상관 불복종이다 사형벌로 다스리자,0,0
179,6eZsI,"말은 그럴듯 하는데 안철수의  최대 약점은 애초의 계획대로
끝까지 매듭짓지 못하는 용두사미격 실행력이다.그저 자기분야에서 전념하는 전문성만 인정받는 인물이다.그러니까 당연히 죄지을만한 사회활동도 없었던거다.대학교수 보다도 차라리 연구소 박사타잎이다.대통령보다도 장관하는게 낫다.국민들이 갑갑해서 불만이 많을거다.",0,0
180,3aQx9,"우리집멍멍이도 구분한다 영길아
입만벌리면개잡부소리구먼",0,1
181,8wGL4,방송 사고다,0,0
182,3Dlna,미래에는 진영은 없지... 쥴리는 있고 ㅋㅋㅋㅋㅋ,0,0
183,335cO,김남국도 추미애도 고민정도 김어준도 김제동도 조국도 이해찬도 박영선도  이재명을 찍으면 계속 호의호식한다.,0,0
184,67e7R,너 나오는 작품은 다 패싱이다,0,0
185,4bIGO,"째명아 그냥 페미들한테 올인해라 그짝은 전과 4범, 옥수동 누나 그딴거 신경 안쓰고 지원금 팍팍 밀어준다 하면 된다. 지지율 쪼금이라도 올려야지 석열이형한테 처발리는 모습이 짠해서 한마디 한다...",0,1
186,2rbDX,니 아들이나 챙기라니까 또 나와서 강 타령하고 있소~ 애처로워 보입니다. 추미애_김현미_유은혜 세명 한방에 넣어두면 세상 잼미있는일 벌어지것다.,0,0
187,30Lcy,"이죄명이갈곳은 감방행이다
그곳에서  푹쉬던지  활복하
던지  니가아라서해라",1,1
188,Jp0r,그럼 방해했다고 태클 건 개같은 인간들은 주리를 틀어야지,1,1
189,3JvAJ,"마이너스 3선 주제에 잠시 바람 타
나경원 겨우 이겨 대표된 게 주접을
떨어요. 인성이 썩었어. 글쿠 당원들이 내는 피 같은 돈 쓰지 마라 민주당비 써라 당원들이 울분을 토하겠다",0,1
190,2NAN7,캬...걍 주둥이만 닫고 있어도 문재앙 박원숭이처럼 무임승차 할수 있겠구만..왜 저러지 ㅋㅋㅋ,0,1
191,7AHEQ,아주 기고만장하네?  지금 아마 대통령이라도 된듯하네? 저런사람이 만약에 된다면 어떨까?,0,0
192,35zLE,윤은 대통령 당선 되어도 탄핵감 이다,0,0
193,3qhQj,"같은 피의자로 수사 조사받아야 할 대상이니 동병상련 아냐? 
감사 사칭 직권남용 배임 재명아 특검가자",0,0
194,23f5u,썩은동아줄 잡고 지껄이다 끝났으면 좀  조용히해라.도움안되는년,0,1
